Tweet Id;Text;Name;Screen Name;UTC;Created At;Favorites;Retweets;Language;Client;Tweet Type;URLs;Hashtags;Mentions;Media Type;Media URLs;;;
1462486428013707267;"RT @inestablebeby : Estado Actual:
? Soltero.
? En una relación.
? Esperando la película de Spiderman.";David Floress;DavidFloorrs;2021-11-21T18:21:50.000Z;Sun Nov 21 18:21:50 +0000 2021;0;0;es;"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>";Retweet;;0;0;;;;;
1462486425157476364;"RT @RealScreenGeek : We’re giving away 2 free tickets to see Spider-Man: No Way Home on December 17th! All you have to do is retweet this and FOLLOW us for your chance to win!

#SpiderMan #NoWayHome https://t.co/buC2TB3lMz";Joa-Kin Huerta;d3fton3zz;2021-11-21T18:21:50.000Z;Sun Nov 21 18:21:50 +0000 2021;0;0;en;"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>";Retweet;;2;0;animated_gif;https://video.twimg.com/tweet_video/FEVpe6BX0AAn36s.mp4;;;
1462486422808584192;RT @KinoFabino : The only Spiderman movie I want https://t.co/vEXwo4UAG9;antifungal tokin;brainphat;2021-11-21T18:21:49.000Z;Sun Nov 21 18:21:49 +0000 2021;0;0;en;"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>";Retweet;;0;0;photo;https://pbs.twimg.com/media/FEsdqJzXoAIpe4m.png;;;
1462486418853400579;RT @KinoFabino : The only Spiderman movie I want https://t.co/vEXwo4UAG9;Maertzi_Erast;Pyromaniac641;2021-11-21T18:21:48.000Z;Sun Nov 21 18:21:48 +0000 2021;0;0;en;"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>";Retweet;;0;0;photo;https://pbs.twimg.com/media/FEsdqJzXoAIpe4m.png;;;
1462486414835212289;RT @KinoFabino : The only Spiderman movie I want https://t.co/vEXwo4UAG9;D??????????A????????????X???????????? ??;freeplagueboy;2021-11-21T18:21:47.000Z;Sun Nov 21 18:21:47 +0000 2021;0;0;en;"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>";Retweet;;0;0;photo;https://pbs.twimg.com/media/FEsdqJzXoAIpe4m.png;;;
1462486414201925638;RT @KinoFabino : The only Spiderman movie I want https://t.co/vEXwo4UAG9;krom;krombus_;2021-11-21T18:21:47.000Z;Sun Nov 21 18:21:47 +0000 2021;0;0;en;"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>";Retweet;;0;0;photo;https://pbs.twimg.com/media/FEsdqJzXoAIpe4m.png;;;
1462486403275628547;@sxseils Está dando Spiderman 3 en Cinemax, te dejo la data;Fran ??;Franduarte19_97;2021-11-21T18:21:44.000Z;Sun Nov 21 18:21:44 +0000 2021;0;0;es;"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>";Reply;;0;1;;;;;
1462486397890215937;"SPIDER-MAN
#SpiderMan
#MarvelComics https://t.co/WIqtQrcwNJ";Charlie j power;CharlieXI6;2021-11-21T18:21:43.000Z;Sun Nov 21 18:21:43 +0000 2021;0;0;en;"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>";Tweet;;2;0;photo;https://pbs.twimg.com/media/FEvLoB9XsAAACjn.jpg;;;
1462486394299891717;RT @KinoFabino : The only Spiderman movie I want https://t.co/vEXwo4UAG9;Moon Moon;dogofdojima;2021-11-21T18:21:42.000Z;Sun Nov 21 18:21:42 +0000 2021;0;0;en;"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>";Retweet;;0;0;photo;https://pbs.twimg.com/media/FEsdqJzXoAIpe4m.png;;;
1462486392479617027;Ya me empezaron a aparecer tv sopts japoneses de spiderman y luego esos dan más spoiler que nada;Abril emo ????|| semi-inactiva ??;abscxyey;2021-11-21T18:21:42.000Z;Sun Nov 21 18:21:42 +0000 2021;0;0;es;"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>";Tweet;;0;0;;;;;
