Tweet Id,Text,Name,Screen Name,UTC,Created At,Favorites,Retweets,Language,Client,Tweet Type,URLs,Hashtags,Mentions,Media Type,Media URLs,,,
1463573314434215937,Your periodic reminder to never play $UVXY from the long side. 99.99999932% price destruction since inception. https://t.co/L7jb1tbTbn,Marquis,marquisletigre,2021-11-24T18:20:44.000Z,Wed Nov 24 18:20:44 +0000 2021,0,0,en,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",Tweet,,0,0,photo,https://pbs.twimg.com/media/FE-oKS3XEAcYRZz.jpg,,,
1463573309099069441,@fanficlibrarian I avoid the Inception discord now because it's all tiny babies and it makes me super sad because it's really my favorite fandom; but they're extremely not on board with me in a lot of circumstances and it sucks. I'm sorry you are encountering this. D:,Dani M. ???? ?? MLT (ASCP),War_Kittens,2021-11-24T18:20:43.000Z,Wed Nov 24 18:20:43 +0000 2021,1,0,en,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Reply,,0,1,,,,,
1463573286118465542,"@laurarichwhit @IMDb Inception is why I still haven't watched Tenet, but I did really like Memento.",??Bowie Maroney??,BowieMaroney90,2021-11-24T18:20:37.000Z,Wed Nov 24 18:20:37 +0000 2021,0,0,en,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Reply,,0,2,,,,,
1463573275901108227,"RT @TedEMTP : To say I’m excited about this would be the understatement of the decade!! I’ve been a devoted listener to Writer’s Bone almost since its inception — I’m so excited to be a guest, thank you @danielfford !!! https://t.co/sPyjdTuFGS",John Vercher,jverchwrites,2021-11-24T18:20:35.000Z,Wed Nov 24 18:20:35 +0000 2021,0,0,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Retweet,https://twitter.com/writersbone/status/1463553005010046976 ,0,1,,,,,
1463573269924257794,RT @OhNoSheTwitnt : Kid Rock releasing song with a lyric mocking participation trophies the same day Trump was given an honorary black belt is like self-own Inception.,Justin Topple,Ferrior_,2021-11-24T18:20:34.000Z,Wed Nov 24 18:20:34 +0000 2021,0,0,en,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",Retweet,,0,0,,,,,
1463573249917210626,RT @OhNoSheTwitnt : Kid Rock releasing song with a lyric mocking participation trophies the same day Trump was given an honorary black belt is like self-own Inception.,Stonebraker,PhishPhox,2021-11-24T18:20:29.000Z,Wed Nov 24 18:20:29 +0000 2021,0,0,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Retweet,,0,0,,,,,
1463573245211328513,RT @ClareVeigh : Always great to hear Mary speak about her experience as a member of the @QUBelfast #PCEP from inception @DonnaFitzQUB @KarenMcCutcheon @crbrownwilson @SusanJCarlisle @GaryMitchellRN @NUALADEVLIN17 @sonyaclarkeCYP @barryquinn2019 https://t.co/2Opqrn5jxf,Gary Mitchell,GaryMitchellRN,2021-11-24T18:20:28.000Z,Wed Nov 24 18:20:28 +0000 2021,0,0,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Retweet,,1,9,photo,https://pbs.twimg.com/media/FE9Bz7iXEAIBYMP.jpg,,,
1463573182787424258,"@HsakaTrades Interstellar
Inception
Eternal Sunshine Of The Spotless Mind",Homeless ?itcoiner (Symph),h_bitcoiner,2021-11-24T18:20:13.000Z,Wed Nov 24 18:20:13 +0000 2021,2,0,en,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Reply,,0,1,,,,,
1463573137883373572,"Test our Telegram Private Account to receive all signal,  #EURJPY with #ontheriver , 93% of winning trades for 2099 pips since inception,15 trades,  and -6 pips -MAXDD , go to https://t.co/PaHZmLSCpt https://t.co/AgK3tJT53J",ThirdBrainFx,thirdbrainfx,2021-11-24T18:20:02.000Z,Wed Nov 24 18:20:02 +0000 2021,0,0,en,"<a href=""http://www.thirdbrainfx.com"" rel=""nofollow"">rodtbx</a>",Tweet,https://www.thirdbrainfx.com/test-telegram.php ,2,0,photo,https://pbs.twimg.com/media/FE-oA2tXoAQdKLa.jpg,,,
1463573108539990023,"7. Liquidity provision and token exchange are the core products offered since inception. They have both innovated since then, following very different strategies:
- Sushi focused on increasing their product offering
- Uniswap focused on their core product",milodimo.eth,milodimo1,2021-11-24T18:19:55.000Z,Wed Nov 24 18:19:55 +0000 2021,0,0,en,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",Reply,,0,0,,,,,
